Symbol	Description
JJM25	New Zealand Dollar {Jun 25}
JJU25	New Zealand Dollar {Sep 25}
JJZ25	New Zealand Dollar {Dec 25}
KC	Coffee
KCH25	Coffee {Mar 25}
KCH26	Coffee {Mar 26}
KCH27	Coffee {Mar 27}
KCH28	Coffee {Mar 28}
KCK25	Coffee {May 25}
KCK26	Coffee {May 26}
KCK27	Coffee {May 27}
KCN25	Coffee {Jul 25}
KCN26	Coffee {Jul 26}
KCN27	Coffee {Jul 27}
KCU25	Coffee {Sep 25}
KCU26	Coffee {Sep 26}
KCU27	Coffee {Sep 27}
KCZ25	Coffee {Dec 25}
KCZ26	Coffee {Dec 26}
KCZ27	Coffee {Dec 27}
KJ	Krona/Yen
KJH25	Krona/Yen {Mar 25}
KJH26	Krona/Yen {Mar 26}
KJM25	Krona/Yen {Jun 25}
KJU25	Krona/Yen {Sep 25}
KJZ25	Krona/Yen {Dec 25}
KRH25	Israel Shekel {Mar 25}
KRH26	Israel Shekel {Mar 26}
KRM25	Israel Shekel {Jun 25}
KRU25	Israel Shekel {Sep 25}
KRZ25	Israel Shekel {Dec 25}
KU	Dollar/Krona
KUH25	Dollar/Krona {Mar 25}
KUH26	Dollar/Krona {Mar 26}
KUM25	Dollar/Krona {Jun 25}
KUU25	Dollar/Krona {Sep 25}
KUZ25	Dollar/Krona {Dec 25}
KY	Krone/Yen
KYH25	Krone/Yen {Mar 25}
KYH26	Krone/Yen {Mar 26}
KYM25	Krone/Yen {Jun 25}
KYU25	Krone/Yen {Sep 25}
KYZ25	Krone/Yen {Dec 25}
L1H25	MSCI ACWI ex-US NTR {Mar 25}
L1H26	MSCI ACWI ex-US NTR {Mar 26}
L1M25	MSCI ACWI ex-US NTR {Jun 25}
L1M26	MSCI ACWI ex-US NTR {Jun 26}
L1U25	MSCI ACWI ex-US NTR {Sep 25}
L1Z25	MSCI ACWI ex-US NTR {Dec 25}
L3H25	MSCI ACWI NTR Index {Mar 25}
L3H26	MSCI ACWI NTR Index {Mar 26}
L3M25	MSCI ACWI NTR Index {Jun 25}
