Symbol	Description
BKZ	Suntar Eco-city Limited
BLH	Hai Leck Holdings Limited
BLR	Darco Water Technologies Ltd
BLS	Hotung Investment Hldgs Ltd
BLU	Grp Ltd
BLZ	Advanced Holdings Ltd.
BMGU	Bhg Retail Reit
BMT	New Silkroutes Group Limited
BN2	Valuetronics Holdings Limited
BN4	Keppel Corporation Limited
BNE	Kencana Agri Limited
BPF	Yhi International Limited
BQC	Xpress Holdings Ltd
BQD	Envictus International Hldgltd
BQF	Xmh Holdings Ltd.
BQM	Tiong Woon Corp Holding Ltd
BQN	Bh Global Corporation Limited
BQP	Southern Packaging Group Ltd
BRD	Sapphire Corporation Limited
BRS	Usp Group Limited
BS6	Yangzijiang Shipbldg Hldgs Ltd
BSL	Raffles Medical Group Ltd
BTE	Bund Center Investment Ltd
BTF	Debao Property Development Ltd
BTG	Hg Metal Manufacturing Ltd
BTJ	A-sonic Aerospace Limited
BTM	Penguin International Limited
BTOU	Manulife Us Reit
BTP	Baker Technology Limited
BTWZ	Hyflux S$500m6%perpcapsec
BTX	Anchun International Hldgs Ltd
BTY	Full Apex (holdings) Limited
BUOU	Frasers Logistics & Ind Trust
BVA	Top Glove Corporation Bhd
BVQ	Procurri Corporation Limited
BWCU	Ec World Reit
BWM	China Jinjiang Env Hldg Co Ltd
BXE	Cdw Holding Limited
BYI	Phillip Sgx Apac Div Reit Etf
BYJ	Phillip Sgx Apacdiv Reit Etfs$
C04	Casa Holdings Limited
C05	Chemical Industries (f.e.) Ltd
C06	Csc Holdings Ltd
C07	Jardine Cycle & Carriage Ltd
C09	City Developments Limited
C13	Ch Offshore Ltd
C2PU	Parkwaylife Reit
C33	Chuan Hup Holdings Limited
C38U	Capitamall Trust
C41	Cortina Holdings Limited
C52	Comfortdelgro Corporation Ltd
C6L	Singapore Airlines Ltd
C70	City Developments Ltd Nccps
C76	Creative Technology Ltd
C8R	Jiutian Chemical Group Limited
C9Q	Sinostar Pec Holdings Limited
CC3	Starhub Ltd
CDVZ	Krisenergy S$139.464mz240131
CEDU	Dasin Retail Trust
CFA	Nikkoam-stc Asia_xj Reit Etf
CHJ	Uni-asia Group Limited
CHZ	Hrnetgroup Limited
CIN	Courage Marine Group Limited
CJLU	Netlink Nbn Trust
CJN	British & Malayan Hldg Limited
CLN	Apac Realty Limited
CLR	Lion-phillip S-reit Etf
CMGS	Nx18100a 280501
CMOU	Keppel-kbs Us Reit
CNE	Mindchamps Preschool Limited
COI	Nikkoam-stc Asia_xj Reit Us$
CRPU	Sasseur Reit
CTO	Hong Lai Huat Group Limited
CUGW	Sti 2xlongsg250529
CUJW	Djia 5xlongsg250911
CUMW	Djia 5xshortsg250911a
CVEW	Sti 5xlongsg250529
CVFW	Djia 5xshortsg250911
CVJW	Simsci 5xlongsg260226
CVMW	Hsi 5xlongsg261029
CVRW	Hscei 7xshortsg251029
CVYW	Hstech 7xshortsg251029
CWBU	Cromwell Reit Eur
CWCU	Cromwell Reit Sgd
CWHW	Sti 7xlongsg250529
CWIW	Djia 5xlongsg250911a
CWPW	Simsci 5xshortsg260226
CWRW	Hstech 5xlongsg250904
CWUW	Hstech 5xlongsg261029
CWXW	Hsi 7xshortsg251029
CXGW	Sti 2xshortsg250529
CXLW	Simsci 7xlongsg260226a
CXPW	Hsi 7xlongsg251029
CXS	Uobam Pingan Chinext S$
CXU	Uobam Pingan Chinext Us$
CXXW	Nasdaq 7xshortsg261029
CXZW	Simsci 7xshortsg250716
CY6U	Ascendas India Trust
CYB	Icbc Csop Cgb Etf Us$d
CYC	Icbc Csop Cgb Etf S$
CYGW	Sti 5xshortsg250529
CYNW	Simsci 7xlongsg260226
CYW	Tricklestar
CYX	Icbc Csop Cgb Etf Us$a
CYZW	Simsci 7xshortsg261029
CZGW	Sti 7xshortsg250529
CZLW	Hsi 5xlongsg250416
CZNW	Nasdaq 7xshortsg260401
CZOW	Hscei 7xlongsg250304
CZRW	Hsi 5xshortsg261029
CZVW	Djia 7xshortsg261029
D01	Dairy Farm Int'l Holdings Ltd
D03	Del Monte Pacific Limited
D05	Dbs Group Holdings Ltd
D07	Spdr Djia Etf Trust
D5IU	Lippo Malls Indo Retail Trust
D8DU	First Ship Lease Trust
DCRU	Digicore Reit Usd
DDSW	Sats 5xlongsg250515
DEFW	Sats 5xshortsg250515
DEPW	Cmob 5xlongsg250327
DEVW	Byd 5xlongsg250626
DEWW	Cosco 5xlongsg250626
DFKW	Sembcorp 5xlongsg250515
DGMW	Sembcorp 5xshortsg250515
DHHW	Uob 5xlongsg251023
DHLU	Daiwa Hse Log Tr
DHQW	Steng 5xlongsg250515
DIFW	Ocbc 5xlongsg251023
DIGW	Steng 5xshortsg250515
DIMW	Aia 5xshortsg250327
DIPW	Pingan 5xlongsg250626
DISW	Alibaba 5xlongsg250904
DJVW	Bilibili 5xlongsg250306
DJZW	Lining 5xlongsg251113
DKOW	Byd 5xlongsg250904
DKPW	Alibaba 5xlongsg251113
DKRW	Xiaomi 5xlongsg251113
DKVW	Cnooc 5xlongsg251113
DKZW	Kepcorp 5xlongsg250904
DM0	Psc Corporation Ltd
DPNW	Capinv 5xlongsg260716
DPRW	Thaibev 5xlongsg250716
DPTW	Yzj 5xshortsg250716
DQVW	Comfort 5xlongsg250716
DQXW	Sats 5xlongsg260716
DQYW	Kepcorp 5xshortsg250716
DQZW	Kuaisho 5xlongsg250904
DRJW	Galaxy 5xlongsg250626
DROW	Dbs 5xlongsg250716
DRPW	Tencent 5xlongsg250716
DRQW	Sia 5xshortsg250716
DRRW	Geely 5xlongsg251113
DRVW	Singtel 5xlongsg251113
DRX	St Group Food
DSRW	Djia 7xlongub250922
DU4	Mermaid Maritime Public Co Ltd
DUMW	Kepcorp 5xlongsg250410
DUPW	Sands 5xlongsg250626
DUWW	Tencent 5xlongsg250904
DUYW	Xpeng 5xlongsg250306
DVKW	Petroch 5xlongsg250410
DVNW	Sembcorp 5xshortsg250709
DVSW	Venture 5xlongsg260904
DVWW	Hkex 5xlongsg251113
DVXW	Meituan 5xlongsg251113
DWIW	Sembcorp 5xlongsg250410
DWYW	Jd 5xlongsg251113
DYHW	Sembcorp 5xlongsg250709
DYNW	Kuaisho 5xshortsg250306
DYSW	Tencent 5xlongsg251113
DYTW	Lenovo 5xlongsg251113
DZSW	Petroch 5xshortsg250410
DZTW	Sia 5xlongsg250709
