Symbol	Description
JDN	Jayden Resources Inc
JEC	Jura Energy Corp
JEV	Jericho Energy Ventures Inc
JG	Japan Gold Corp
JHC	Jinhua Capital Corporation
JJ	Jackpot Digital Inc
JJ.WT.C	Jackpot Digital Inc WT C
JNH	Jack Nathan Medical Corp
JPWR.H	Jade Power Trust
JTC	Jemtec Inc
JTWO	J2 Metals Inc
JUGR	Juggernaut Exploration Ltd
JZR	Jzr Gold Inc
KALO	Kalo Gold Corp
KAPA	Kapa Gold Inc
KC	Kutcho Copper Corp
KCC	Kincora Copper Ltd
KCP	King Copper Discovery Corp
KDA	Kda Group Inc
KDK	Kodiak Copper Corp
KDSX	Kadestone Capital Corp
KEN.H	Kenadyr Metals Corp
KEON.H	Keon Capital Inc
KES	Kesselrun Resources Ltd
KFR	Kingfisher Metals Corp
KG	Klondike Gold Corp
KGC	Kestrel Gold Inc
KGL.H	Kgl Resources Ltd.
KGS	Kingsman Minerals Ltd
KIB	Kiboko Gold Inc
KIDZ	Kidoz Inc
KIP	Kiplin Metals Inc
KLD	Kenorland Minerals Ltd
KLDC	Kirkland Lake Discoveries Corp
KLM	Kermode Resources Ltd
KLX	Klimat X Development Inc
KMC.H	Kmt Hansa Corp
KNC	K9 Gold Corp
KNE	Kane Biotech Inc
KNG	Kingsmen Resources Ltd
KORE	Kore Mining Ltd
KOVO	Kovo+ Holdings Inc
KRI	Kobo Resources Inc
KRY	Koryx Copper Inc
KS	Klondike Silver Corp
KTN	Kootenay Silver Inc
KTO	K2 Gold Corp
KTR	Kintavar Exploration Inc
KTRI	Kootenay Resources Inc
KUAI.P	Kua Investments Inc
KUR.H	Kure Technologies Inc
KWE	Kwesst Micro Systems Inc
KYS.H	Kaymus Resources Inc
LA	Los Andes Copper Ltd
LAB	Labrador Gold Corp
LBC	Libero Copper & Gold Corp
LBI	Lions Bay Capital Inc
LBNK	Lithiumbank Resources Corp
LCE	Century Lithium Corp
LCX	Lycos Energy Inc
LDB.P	Ldb Capital Corp
LEAP	Quantum Critical Metals Corp
LEGY	Legacy Gold Mines Ltd
LEM	Leading Edge Materials Corp
LET.H	Letho Resources Corp
LEXI	Lithium Energi Exploration Inc
LFST	Lifeist Wellness Inc
LG	Lahontan Gold Corp
LGC	Lavras Gold Corp
LGN	Logan Energy Corp
LI	American Lithium Corp
LIFT	Li-Ft Power Ltd.
LIO	Lion One Metals Ltd
LIO.WT	Lion One Metals Limited Wts
LIO.WT.A	Lion One Metals Limited Wts A
LIS	Lithium South Development Corp
LIT	Argentina Lithium and Energy Corp
LITH	Lithium Chile Inc
LITT	Right Season Investments Corp
LLG	Mason Resources Inc
LME	Laurion Mineral Exploration Inc
LMG	Lincoln Gold Mining Inc
LMN	Lumine Group Inc.
LMR	Lomiko Metals Inc
LMS	Latin Metals Inc
LNGE	Lng Energy Group Corp
LNGE.WT	Lng Energy Group Corp.
LOD	Lode Gold Resources Inc
LOG.P	Logica Ventures Corp
LONE	Lithium One Metals Inc
LOT	Tomagold Corp
LOU	Lucero Energy Corp
LOVE	Cannara Biotech Inc
LPC	Lorne Park Capital Partners Inc
LPK	Lupaka Gold Corp
LPS	Legend Power Systems Inc
LQWD	Lqwd Fintech Corp
LRA	Lara Exploration Ltd
LSC.P	Lombard Street Capital Corp
LSD.H	Lightspeed Discoveries Inc
LSL	Lsl Pharma Group Inc
LSL.DB	Lsl Pharma Group Inc.
LSTR	Lodestar Metals Corp
LTC	Lotus Creek Exploration Inc
LTH	Lithium Ionic Corp
LTX	Labrador Resources Inc
LUCA	Luca Mining Corp
LUM	Lumina Gold Corp
LVG	Lake Victoria Gold Ltd
LVX	Leviathan Gold Ltd
LWR	Lake Winn Resources Corp
MAC	Themac Resources Group Limited
MAE	Maritime Resources Corp
MAGA.H	Patriot Resources Corp
MAH	Marksmen Energy Inc
MAI	Minera Alamos Inc
MAND.P	Mandeville Ventures Inc
MAPS	Prostar Holdings Inc
MAR.UN	Marwest Apartment REIT
MARV	Marvel Discovery Corp
MASS	Masivo Silver Corp
MATA	Matador Technologies Inc
MATE	Blockmate Ventures Inc
MAU	Montage Gold Corp
MAX	Max Resource Corp
MAZ.H	Mazarin Inc
MBI.H	Med Biogene Inc
MCA.H	Milner Consolidated Silver Mines Ltd
MCC	Morocco Strategic Minerals Corp
MCF	Mcf Energy Ltd
MCI	Minnova Corp
MCM.A	Matachewan Cons Mines
MCS	Mcchip Resources Inc
MD	Midland Exploration Inc
MDM	Madoro Metals Corp
MDX	Medx Health Corp
MEED.P	Meed Growth Corp.
MEGO.P	Amego Capital Corp
MEK	Metals Creek Resources Corp
MENE	Mene Inc
MERG	Metal Energy Corp
MET	Metalore Resources Ltd
MEX	Mexican Gold Mining Corp
MFG	Mayfair Gold Corp
MFL	Mawson Finland Limited
MGC.H	Midasco Capital Corp
MGG	Minaurum Gold Inc
MGI	Magnum Goldcorp Inc
MGM	Maple Gold Mines Ltd
MGRO	Mustgrow Biologics Corp
MHI	Mineral Hill Industries Ltd
MHUB	Minehub Technologies Inc
MIM	Mimedia Holdings Inc
MINE	Inomin Mines Inc
MINK	Mink Ventures Corporation
MIR	Medmira Inc
MIVO	Esstra Industries Inc
MJS	Majestic Gold Corp
MKA	Mkango Resources Ltd
MKO	Mako Mining Corp
MKR	Melkior Resources Inc
MKT	Deepmarkit Corp
MLO	Metalero Mining Corp
MLP	Millennial Potash Corp
MMA	Midnight Sun Mining Corp
MMG	Metallic Minerals Corp
MMM	Minco Capital Corp
MMN	Monarca Minerals Inc
MMS	Macarthur Minerals Ltd
MMY	Monument Mining Ltd
MN	Manganese X Energy Corp
MNC	Magnetic North Acquisition Corp
MNC.PR.A	Magnetic North Acquisition Corp Pref
MNLX	Miniluxe Holding Corp
MNRG	Monumental Energy Corp
MNX	Manitex Capital Inc
