Symbol	Description
TVH27	Eurex 3Month EuriBor {Mar 27}
TVH28	Eurex 3Month EuriBor {Mar 28}
TVH29	Eurex 3Month EuriBor {Mar 29}
TVH30	Eurex 3Month EuriBor {Mar 30}
TVH31	Eurex 3Month EuriBor {Mar 31}
TVJ25	Eurex 3Month EuriBor {Apr 25}
TVK25	Eurex 3Month EuriBor {May 25}
TVM25	Eurex 3Month EuriBor {Jun 25}
TVM26	Eurex 3Month EuriBor {Jun 26}
TVM27	Eurex 3Month EuriBor {Jun 27}
TVM28	Eurex 3Month EuriBor {Jun 28}
TVM29	Eurex 3Month EuriBor {Jun 29}
TVM30	Eurex 3Month EuriBor {Jun 30}
TVN25	Eurex 3Month EuriBor {Jul 25}
TVQ25	Eurex 3Month EuriBor {Aug 25}
TVU25	Eurex 3Month EuriBor {Sep 25}
TVU26	Eurex 3Month EuriBor {Sep 26}
TVU27	Eurex 3Month EuriBor {Sep 27}
TVU28	Eurex 3Month EuriBor {Sep 28}
TVU29	Eurex 3Month EuriBor {Sep 29}
TVU30	Eurex 3Month EuriBor {Sep 30}
TVZ25	Eurex 3Month EuriBor {Dec 25}
TVZ26	Eurex 3Month EuriBor {Dec 26}
TVZ27	Eurex 3Month EuriBor {Dec 27}
TVZ28	Eurex 3Month EuriBor {Dec 28}
TVZ29	Eurex 3Month EuriBor {Dec 29}
TVZ30	Eurex 3Month EuriBor {Dec 30}
UH.C	Stoxx E600 Oil & Gas Continuation
UHH25	Stoxx E600 Oil & Gas {Mar 25}
UHM25	Stoxx E600 Oil & Gas {Jun 25}
UHU25	Stoxx E600 Oil & Gas {Sep 25}
UHZ25	Stoxx E600 Oil & Gas {Dec 25}
UJ.C	Stoxx E600 Basic Res Continuation
UJH25	Stoxx E600 Basic Res {Mar 25}
UJM25	Stoxx E600 Basic Res {Jun 25}
UJU25	Stoxx E600 Basic Res {Sep 25}
UJZ25	Stoxx E600 Basic Res {Dec 25}
UO.C	Stoxx E600 Technolog Continuation
UOH25	Stoxx E600 Technolog {Mar 25}
UOM25	Stoxx E600 Technolog {Jun 25}
UOU25	Stoxx E600 Technolog {Sep 25}
UOZ25	Stoxx E600 Technolog {Dec 25}
UQ.C	Stoxx E600 Media Continuation
UQH25	Stoxx E600 Media {Mar 25}
UQM25	Stoxx E600 Media {Jun 25}
UQU25	Stoxx E600 Media {Sep 25}
UQZ25	Stoxx E600 Media {Dec 25}
YS.C	Stoxx Euro600 Health Continuation
YSH25	Stoxx Euro600 Health {Mar 25}
YSM25	Stoxx Euro600 Health {Jun 25}
YSU25	Stoxx Euro600 Health {Sep 25}
YSZ25	Stoxx Euro600 Health {Dec 25}
